mouse	cage	time	dominance
C13F1	C13	CD	0.449819026
C13F2	C13	CD	0.342945043
C13F3	C13	CD	0.993340059
C13F4	C13	CD	0.061532193
C13F5	C13	CD	0.655449357
C04M1	C04	CD	0.589330577
C04M2	C04	CD	0.352419772
C04M3	C04	CD	0.960496514
C04M4	C04	CD	0.404056893
C04M5	C04	CD	0.181410569
C10F1	C10	CD	0.966229563
C10F2	C10	CD	0.43339559
C10F3	C10	CD	0.240199913
C10F4	C10	CD	0.146016816
C10F5	C10	CD	0.699302722
C11F1	C11	CD	0.64724426
C11F2	C11	CD	0.658931815
C11F3	C11	CD	0.034681718
C11F4	C11	CD	0.534823387
C11F5	C11	CD	0.659890347
C12F1	C12	CD	0.319305406
C12F2	C12	CD	0.452555622
C12F3	C12	CD	0.933905823
C12F4	C12	CD	0.75566984
C12F5	C12	CD	0.032845188
C03M1	C03	CD	0.510476756
C03M2	C03	CD	0.59703324
C03M3	C03	CD	0.842868798
C03M4	C03	CD	0.067507146
C03M5	C03	CD	0.320329963
C05M1	C05	CD	0.950397229
C05M2	C05	CD	0.414414409
C05M3	C05	CD	0.224973346
C05M4	C05	CD	0.757968183
C05M5	C05	CD	0.112442585
C06M1	C06	CD	0.316034709
C06M2	C06	CD	0.362857555
C06M3	C06	CD	0.979258867
C06M4	C06	CD	0.1944249
C06M5	C06	CD	0.606802621
