mouse	cage	time	dominance
C13F1	C13	CR	0.454093812
C13F2	C13	CR	0.396480292
C13F3	C13	CR	0.993282083
C13F4	C13	CR	0.052019885
C13F5	C13	CR	0.631011475
C04M1	C04	CR	0.543119742
C04M2	C04	CR	0.381705664
C04M3	C04	CR	0.958696462
C04M4	C04	CR	0.329057146
C04M5	C04	CR	0.262033152
C10F1	C10	CR	0.964904777
C10F2	C10	CR	0.425436289
C10F3	C10	CR	0.252741401
C10F4	C10	CR	0.138247572
C10F5	C10	CR	0.708868571
C11F1	C11	CR	0.663113056
C11F2	C11	CR	0.721931612
C11F3	C11	CR	0.029024897
C11F4	C11	CR	0.39328481
C11F5	C11	CR	0.711169387
C12F1	C12	CR	0.319305406
C12F2	C12	CR	0.452555622
C12F3	C12	CR	0.933905823
C12F4	C12	CR	0.75566984
C12F5	C12	CR	0.032845188
C03M1	C03	CR	0.32456395
C03M2	C03	CR	0.6683335
C03M3	C03	CR	0.815662272
C03M4	C03	CR	0.082341552
C03M5	C03	CR	0.280442409
C05M1	C05	CR	0.961178182
C05M2	C05	CR	0.406558339
C05M3	C05	CR	0.172351995
C05M4	C05	CR	0.687048325
C05M5	C05	CR	0.165265132
C06M1	C06	CR	0.273065423
C06M2	C06	CR	0.370231965
C06M3	C06	CR	0.979757454
C06M4	C06	CR	0.257107436
C06M5	C06	CR	0.565873893
