mouse	cage	time	dominance
C13F1	C13	DT	0.449465046
C13F2	C13	DT	0.431876071
C13F3	C13	DT	0.993138127
C13F4	C13	DT	0.048597112
C13F5	C13	DT	0.608819514
C04M1	C04	DT	0.577853964
C04M2	C04	DT	0.422457715
C04M3	C04	DT	0.943659724
C04M4	C04	DT	0.254008319
C04M5	C04	DT	0.301832177
C10F1	C10	DT	0.965050405
C10F2	C10	DT	0.420432055
C10F3	C10	DT	0.264425263
C10F4	C10	DT	0.131583416
C10F5	C10	DT	0.712179251
C11F1	C11	DT	0.751434264
C11F2	C11	DT	0.731495764
C11F3	C11	DT	0.030522137
C11F4	C11	DT	0.301405208
C11F5	C11	DT	0.688361279
C12F1	C12	DT	0.319305406
C12F2	C12	DT	0.452555622
C12F3	C12	DT	0.933905823
C12F4	C12	DT	0.75566984
C12F5	C12	DT	0.032845188
C03M1	C03	DT	0.417392532
C03M2	C03	DT	0.736347713
C03M3	C03	DT	0.694278212
C03M4	C03	DT	0.098259826
C03M5	C03	DT	0.198412759
C05M1	C05	DT	0.963022525
C05M2	C05	DT	0.391268138
C05M3	C05	DT	0.213614809
C05M4	C05	DT	0.684047553
C05M5	C05	DT	0.154807597
C06M1	C06	DT	0.220357478
C06M2	C06	DT	0.45322153
C06M3	C06	DT	0.979479584
C06M4	C06	DT	0.241523451
C06M5	C06	DT	0.556000816
