mouse	cage	time	dominance
C13F1	C13	HR	0.490068837
C13F2	C13	HR	0.261633053
C13F3	C13	HR	0.993331948
C13F4	C13	HR	0.079268254
C13F5	C13	HR	0.665579223
C04M1	C04	HR	0.457048819
C04M2	C04	HR	0.385507241
C04M3	C04	HR	0.954668513
C04M4	C04	HR	0.582659288
C04M5	C04	HR	0.128569285
C10F1	C10	HR	0.967105072
C10F2	C10	HR	0.435203413
C10F3	C10	HR	0.221961691
C10F4	C10	HR	0.157247195
C10F5	C10	HR	0.698846273
C11F1	C11	HR	0.601150564
C11F2	C11	HR	0.436042337
C11F3	C11	HR	0.05056591
C11F4	C11	HR	0.822139879
C11F5	C11	HR	0.595290482
C12F1	C12	HR	0.319305406
C12F2	C12	HR	0.452555622
C12F3	C12	HR	0.933905823
C12F4	C12	HR	0.75566984
C12F5	C12	HR	0.032845188
C03M1	C03	HR	0.514556842
C03M2	C03	HR	0.53994599
C03M3	C03	HR	0.822365888
C03M4	C03	HR	0.07355676
C03M5	C03	HR	0.444559088
C05M1	C05	HR	0.924074809
C05M2	C05	HR	0.419828917
C05M3	C05	HR	0.266890284
C05M4	C05	HR	0.822272398
C05M5	C05	HR	0.083351507
C06M1	C06	HR	0.356497563
C06M2	C06	HR	0.365479903
C06M3	C06	HR	0.978123737
C06M4	C06	HR	0.165276666
C06M5	C06	HR	0.596960724
