mouse	cage	time	dominance
C13F1	C13	HT	0.494652331
C13F2	C13	HT	0.217723196
C13F3	C13	HT	0.993257426
C13F4	C13	HT	0.100977775
C13F5	C13	HT	0.675194574
C04M1	C04	HT	0.382629916
C04M2	C04	HT	0.375199228
C04M3	C04	HT	0.93574261
C04M4	C04	HT	0.640369664
C04M5	C04	HT	0.166725947
C10F1	C10	HT	0.967573457
C10F2	C10	HT	0.434365496
C10F3	C10	HT	0.208146829
C10F4	C10	HT	0.167974842
C10F5	C10	HT	0.700941894
C11F1	C11	HT	0.714460437
C11F2	C11	HT	0.385803397
C11F3	C11	HT	0.098333852
C11F4	C11	HT	0.847028367
C11F5	C11	HT	0.406607314
C12F1	C12	HT	0.319305406
C12F2	C12	HT	0.452555622
C12F3	C12	HT	0.933905823
C12F4	C12	HT	0.75566984
C12F5	C12	HT	0.032845188
C03M1	C03	HT	0.385495863
C03M2	C03	HT	0.630499965
C03M3	C03	HT	0.782183649
C03M4	C03	HT	0.075134875
C03M5	C03	HT	0.509422216
C05M1	C05	HT	0.850523862
C05M2	C05	HT	0.428220392
C05M3	C05	HT	0.257448504
C05M4	C05	HT	0.90221141
C05M5	C05	HT	0.083753852
C06M1	C06	HT	0.378111863
C06M2	C06	HT	0.379093266
C06M3	C06	HT	0.976212314
C06M4	C06	HT	0.139442222
C06M5	C06	HT	0.621030217
