mouse	cage	time	dominance
C13F1	C13	OP	0.497173977
C13F2	C13	OP	0.211801867
C13F3	C13	OP	0.993113487
C13F4	C13	OP	0.116955376
C13F5	C13	OP	0.659343086
C04M1	C04	OP	0.271482444
C04M2	C04	OP	0.420192198
C04M3	C04	OP	0.877775746
C04M4	C04	OP	0.549187693
C04M5	C04	OP	0.408367372
C10F1	C10	OP	0.967656645
C10F2	C10	OP	0.435165637
C10F3	C10	OP	0.207588107
C10F4	C10	OP	0.17028116
C10F5	C10	OP	0.699154495
C11F1	C11	OP	0.648941041
C11F2	C11	OP	0.422315759
C11F3	C11	OP	0.120292675
C11F4	C11	OP	0.881270228
C11F5	C11	OP	0.345679549
C12F1	C12	OP	0.319305406
C12F2	C12	OP	0.452555622
C12F3	C12	OP	0.933905823
C12F4	C12	OP	0.75566984
C12F5	C12	OP	0.032845188
C03M1	C03	OP	0.241593925
C03M2	C03	OP	0.618822372
C03M3	C03	OP	0.752027241
C03M4	C03	OP	0.102238813
C03M5	C03	OP	0.537072042
C05M1	C05	OP	0.801363541
C05M2	C05	OP	0.365779217
C05M3	C05	OP	0.323493357
C05M4	C05	OP	0.92520929
C05M5	C05	OP	0.083873658
C06M1	C06	OP	0.386687402
C06M2	C06	OP	0.379795585
C06M3	C06	OP	0.973265164
C06M4	C06	OP	0.139863914
C06M5	C06	OP	0.629053093
